road_name_in_googleMap,Accident_date,accident_time,vehicle_type,road_type,seviarity_of_accident,near_by_hospital,near_by_school,near_by_chrch,No_of_bildings_near_300m_of_accident_area,death
FC Road,2024-07-18 09:03:43.253438,12:29,Bicycle,Highway,Major,1,1,1,48,1
Paud Road,2022-07-06 09:03:43.253438,11:56,Bike,Main Road,Minor,0,1,0,1,0
Satara Road,2021-06-11 09:03:43.253438,02:25,Auto-rickshaw,Main Road,Major,1,1,1,45,1
FC Road,2022-04-25 09:03:43.253438,20:42,Bus,Highway,Major,1,1,0,11,1
Shivaji Road,2023-07-15 09:03:43.253438,11:55,Car,Rural,Fatal,1,1,1,8,1
Satara Road,2023-11-10 09:03:43.253438,11:59,Bike,Residential,Minor,1,1,0,36,0
Shivaji Road,2023-10-02 09:03:43.253438,07:51,Pedestrian,Rural,Major,1,0,1,36,1
Sinhagad Road,2022-11-25 09:03:43.253438,01:38,Truck,Rural,Major,1,1,1,46,0
FC Road,2023-10-21 09:03:43.253438,04:37,Auto-rickshaw,Residential,Minor,0,1,1,25,1
Paud Road,2022-10-17 09:03:43.253438,19:33,Truck,Main Road,Fatal,1,0,0,47,1
Aundh Road,2022-05-28 09:03:43.253438,20:04,Bike,Rural,Fatal,0,1,1,34,0
Karve Road,2024-05-20 09:03:43.253438,02:03,Truck,Main Road,Minor,1,1,1,4,1
Baner Road,2019-09-12 09:03:43.253438,06:34,Bus,Residential,Fatal,1,1,1,43,0
MG Road,2020-01-30 09:03:43.253438,19:52,Bike,Rural,Fatal,0,0,1,30,0
Paud Road,2023-10-22 09:03:43.253438,22:25,Car,Residential,Minor,0,0,0,15,0
FC Road,2021-01-01 09:03:43.253438,10:39,Car,Highway,Minor,0,0,0,40,0
Karve Road,2024-06-25 09:03:43.253438,06:11,Pedestrian,Main Road,Fatal,0,1,1,24,1
Paud Road,2023-11-04 09:03:43.253438,02:54,Car,Rural,Fatal,1,1,1,45,0
FC Road,2020-08-15 09:03:43.253438,09:18,Car,Highway,Major,1,0,1,18,0
Kothrud Road,2023-06-16 09:03:43.253438,01:05,Bike,Rural,Fatal,1,0,0,41,1
Kothrud Road,2023-07-28 09:03:43.253438,14:41,Bike,Main Road,Major,1,1,0,39,1
Shivaji Road,2023-03-03 09:03:43.253438,12:31,Bicycle,Main Road,Minor,1,0,0,46,1
Paud Road,2020-02-24 09:03:43.253438,19:36,Bike,Highway,Major,0,0,1,41,1
Kothrud Road,2023-12-23 09:03:43.253438,08:22,Auto-rickshaw,Main Road,Fatal,1,0,1,0,1
FC Road,2023-11-13 09:03:43.253438,11:35,Bicycle,Residential,Major,1,0,0,13,1
Shivaji Road,2020-06-12 09:03:43.253438,05:29,Bike,Residential,Fatal,1,1,1,0,1
FC Road,2020-04-26 09:03:43.253438,11:16,Bike,Highway,Fatal,0,0,1,31,0
Shivaji Road,2023-07-22 09:03:43.253438,07:44,Pedestrian,Residential,Fatal,1,0,1,15,1
Paud Road,2022-06-15 09:03:43.253438,12:53,Bike,Main Road,Minor,1,1,0,13,0
Karve Road,2023-04-07 09:03:43.253438,06:52,Car,Highway,Major,1,0,1,17,1
Aundh Road,2020-02-28 09:03:43.253438,10:11,Bus,Rural,Major,1,0,1,30,0
Satara Road,2023-03-04 09:03:43.253438,06:21,Car,Residential,Major,1,0,1,17,1
Karve Road,2022-04-12 09:03:43.253438,02:21,Bicycle,Highway,Major,1,1,1,30,0
Sinhagad Road,2023-11-30 09:03:43.253438,04:23,Pedestrian,Highway,Fatal,0,0,1,12,0
FC Road,2020-02-12 09:03:43.253438,13:17,Bus,Main Road,Major,1,0,0,33,0
Sinhagad Road,2019-09-13 09:03:43.253438,19:13,Pedestrian,Main Road,Major,1,0,1,11,1
Karve Road,2023-03-11 09:03:43.253438,20:33,Bus,Highway,Minor,0,1,1,42,1
Shivaji Road,2024-06-29 09:03:43.253438,05:19,Pedestrian,Residential,Minor,0,1,0,47,1
Satara Road,2020-11-06 09:03:43.253438,15:31,Bus,Residential,Major,1,0,1,14,1
Satara Road,2020-06-04 09:03:43.253438,15:25,Pedestrian,Highway,Minor,1,1,1,30,1
MG Road,2024-03-06 09:03:43.253438,23:12,Bicycle,Highway,Minor,0,0,1,4,1
Satara Road,2021-04-15 09:03:43.253438,21:40,Bicycle,Rural,Minor,1,1,0,21,0
Aundh Road,2023-04-06 09:03:43.253438,23:38,Car,Rural,Fatal,1,1,0,30,0
Satara Road,2022-12-18 09:03:43.253438,11:07,Auto-rickshaw,Residential,Minor,0,0,0,3,1
Karve Road,2020-01-19 09:03:43.253438,21:00,Pedestrian,Main Road,Minor,1,1,1,12,0
MG Road,2022-04-10 09:03:43.253438,01:20,Truck,Rural,Major,0,0,0,46,1
Karve Road,2020-04-17 09:03:43.253438,16:11,Auto-rickshaw,Highway,Major,1,1,1,44,1
Karve Road,2020-02-05 09:03:43.253438,06:06,Car,Rural,Fatal,0,1,0,26,1
Baner Road,2021-10-18 09:03:43.253438,23:46,Bus,Main Road,Minor,1,1,1,30,0
MG Road,2021-10-08 09:03:43.253438,05:10,Truck,Main Road,Major,1,0,1,16,1
Karve Road,2023-05-25 09:03:43.253438,03:07,Auto-rickshaw,Main Road,Fatal,0,0,1,33,1
Baner Road,2024-02-11 09:03:43.253438,17:42,Pedestrian,Highway,Major,0,1,0,4,0
Baner Road,2024-04-28 09:03:43.253438,02:06,Bicycle,Residential,Major,0,1,0,11,0
MG Road,2020-09-26 09:03:43.253438,02:18,Pedestrian,Main Road,Minor,1,0,1,22,0
Sinhagad Road,2022-05-19 09:03:43.253438,17:33,Bicycle,Main Road,Major,0,0,0,46,0
Shivaji Road,2023-06-19 09:03:43.253438,18:19,Bike,Residential,Minor,0,0,0,27,1
Aundh Road,2023-06-05 09:03:43.253438,09:43,Bicycle,Residential,Minor,0,1,0,13,0
Shivaji Road,2020-08-08 09:03:43.253438,22:36,Auto-rickshaw,Main Road,Major,1,1,0,18,0
Satara Road,2021-02-11 09:03:43.253438,21:14,Car,Main Road,Fatal,0,1,0,34,0
Aundh Road,2022-01-16 09:03:43.253438,11:31,Truck,Highway,Major,1,0,1,4,1
Satara Road,2020-03-20 09:03:43.253438,02:52,Bike,Highway,Fatal,0,1,0,13,1
Karve Road,2021-07-05 09:03:43.253438,23:06,Pedestrian,Residential,Major,0,0,1,3,0
FC Road,2024-05-12 09:03:43.253438,10:02,Bicycle,Main Road,Minor,0,1,1,23,1
MG Road,2023-03-13 09:03:43.253438,05:05,Bicycle,Residential,Fatal,1,0,1,35,1
Aundh Road,2022-01-09 09:03:43.253438,10:08,Pedestrian,Residential,Major,1,0,0,26,0
Aundh Road,2023-10-17 09:03:43.253438,11:35,Truck,Rural,Major,0,0,1,28,0
Karve Road,2020-10-17 09:03:43.253438,03:05,Truck,Highway,Minor,1,1,1,36,0
Sinhagad Road,2021-07-31 09:03:43.253438,00:22,Pedestrian,Rural,Major,1,1,1,0,1
Baner Road,2020-06-03 09:03:43.253438,07:05,Auto-rickshaw,Rural,Minor,0,0,1,24,1
Karve Road,2023-03-01 09:03:43.253438,00:26,Bicycle,Residential,Fatal,1,1,0,20,0
Kothrud Road,2022-08-21 09:03:43.253438,21:40,Bus,Highway,Major,0,1,1,46,0
Baner Road,2024-01-04 09:03:43.253438,19:17,Bicycle,Rural,Major,1,0,0,14,1
MG Road,2023-09-02 09:03:43.253438,22:20,Auto-rickshaw,Highway,Minor,1,1,0,36,0
Baner Road,2019-11-17 09:03:43.253438,02:01,Bike,Rural,Minor,0,0,0,33,0
Sinhagad Road,2020-01-19 09:03:43.253438,01:19,Car,Rural,Major,0,1,0,17,1
Baner Road,2020-06-30 09:03:43.253438,21:46,Bicycle,Residential,Fatal,0,0,1,35,1
MG Road,2022-07-15 09:03:43.253438,06:55,Auto-rickshaw,Highway,Minor,1,0,1,17,1
Sinhagad Road,2021-09-07 09:03:43.253438,01:14,Bus,Rural,Fatal,1,1,0,49,1
Shivaji Road,2022-05-04 09:03:43.253438,05:32,Bus,Main Road,Fatal,0,0,1,31,1
Aundh Road,2023-06-09 09:03:43.253438,03:44,Auto-rickshaw,Main Road,Fatal,1,1,0,35,1
Aundh Road,2024-08-18 09:03:43.253438,23:17,Bike,Highway,Minor,0,0,1,0,0
Satara Road,2021-04-16 09:03:43.253438,22:29,Bus,Main Road,Minor,1,1,1,10,0
Shivaji Road,2021-11-25 09:03:43.253438,03:46,Bus,Residential,Fatal,0,1,0,48,0
Shivaji Road,2022-01-12 09:03:43.253438,08:45,Bicycle,Highway,Minor,0,1,1,13,0
Baner Road,2020-05-18 09:03:43.253438,08:49,Bicycle,Main Road,Major,0,1,0,25,0
Aundh Road,2024-08-16 09:03:43.253438,03:31,Pedestrian,Highway,Fatal,1,0,0,11,0
MG Road,2020-03-17 09:03:43.253438,19:27,Bike,Residential,Major,0,0,0,32,0
Paud Road,2022-12-30 09:03:43.253438,16:14,Bike,Highway,Minor,1,0,0,15,0
Paud Road,2021-08-15 09:03:43.253438,23:29,Bike,Main Road,Major,0,1,0,7,0
Sinhagad Road,2024-04-06 09:03:43.253438,00:58,Pedestrian,Residential,Fatal,0,0,0,45,1
Aundh Road,2022-06-23 09:03:43.253438,19:14,Bike,Residential,Major,0,0,0,22,1
Aundh Road,2020-05-25 09:03:43.253438,16:46,Auto-rickshaw,Residential,Minor,0,1,0,14,0
Paud Road,2020-02-18 09:03:43.253438,08:35,Auto-rickshaw,Residential,Major,1,1,1,0,1
Aundh Road,2021-12-27 09:03:43.253438,11:46,Truck,Rural,Fatal,0,1,1,41,0
Baner Road,2020-05-05 09:03:43.253438,21:42,Pedestrian,Residential,Major,1,1,1,17,0
Kothrud Road,2019-09-16 09:03:43.253438,18:21,Truck,Residential,Minor,0,0,0,0,1
FC Road,2020-11-01 09:03:43.253438,11:37,Pedestrian,Rural,Minor,0,0,1,15,0
Shivaji Road,2024-06-20 09:03:43.253438,08:11,Truck,Residential,Major,0,1,1,37,1
Satara Road,2019-12-13 09:03:43.253438,13:13,Bus,Main Road,Fatal,1,0,0,9,1
Sinhagad Road,2023-10-02 09:03:43.253438,01:29,Bike,Highway,Major,1,0,0,39,0
Kothrud Road,2020-05-25 09:03:43.253438,06:58,Auto-rickshaw,Highway,Fatal,0,1,1,26,1
Paud Road,2023-05-16 09:03:43.253438,21:20,Auto-rickshaw,Highway,Major,0,1,1,28,0
Shivaji Road,2023-11-21 09:03:43.253438,17:10,Bike,Residential,Minor,1,1,1,12,0
Aundh Road,2020-12-01 09:03:43.253438,21:56,Truck,Rural,Fatal,1,0,0,44,0
Satara Road,2024-06-19 09:03:43.253438,08:21,Bicycle,Highway,Fatal,1,1,1,29,1
Aundh Road,2022-02-27 09:03:43.253438,18:20,Pedestrian,Rural,Fatal,1,1,1,26,0
MG Road,2024-07-12 09:03:43.253438,02:00,Bus,Highway,Minor,0,0,1,17,1
MG Road,2022-04-22 09:03:43.253438,07:38,Auto-rickshaw,Highway,Minor,0,1,0,29,1
Satara Road,2020-09-18 09:03:43.253438,11:44,Car,Residential,Minor,1,1,0,37,0
Satara Road,2023-10-24 09:03:43.253438,01:21,Bus,Residential,Major,0,1,0,40,0
Paud Road,2021-05-25 09:03:43.253438,19:05,Bus,Rural,Major,0,1,0,23,1
Satara Road,2024-07-19 09:03:43.253438,04:30,Truck,Highway,Major,0,0,0,18,1
Baner Road,2019-09-01 09:03:43.253438,15:34,Bike,Main Road,Fatal,1,0,0,27,0
Aundh Road,2023-03-27 09:03:43.253438,09:14,Pedestrian,Main Road,Fatal,0,1,1,46,0
Kothrud Road,2019-11-06 09:03:43.253438,17:21,Pedestrian,Highway,Fatal,0,1,1,29,1
Karve Road,2023-04-24 09:03:43.253438,19:14,Car,Highway,Fatal,0,1,0,42,1
Satara Road,2022-11-30 09:03:43.253438,00:57,Truck,Main Road,Minor,1,0,0,31,0
Sinhagad Road,2023-10-10 09:03:43.253438,12:32,Bike,Highway,Fatal,0,0,1,31,0
MG Road,2021-06-18 09:03:43.253438,22:49,Pedestrian,Rural,Major,1,0,1,23,0
Baner Road,2024-01-24 09:03:43.253438,15:23,Car,Highway,Major,1,1,1,32,1
Shivaji Road,2024-04-11 09:03:43.253438,13:20,Bicycle,Residential,Minor,0,1,1,4,0
Karve Road,2020-08-15 09:03:43.253438,22:44,Bicycle,Residential,Fatal,1,1,0,5,0
Kothrud Road,2023-07-31 09:03:43.253438,19:36,Auto-rickshaw,Main Road,Minor,1,0,1,34,1
Karve Road,2024-04-12 09:03:43.253438,23:18,Car,Highway,Minor,0,0,1,9,1
Satara Road,2024-04-26 09:03:43.253438,16:32,Truck,Residential,Major,0,1,1,28,0
Paud Road,2019-09-24 09:03:43.253438,18:24,Car,Highway,Minor,1,1,0,9,0
MG Road,2021-06-26 09:03:43.253438,19:00,Car,Rural,Minor,0,1,1,41,0
MG Road,2020-10-13 09:03:43.253438,03:25,Car,Residential,Major,0,0,0,16,0
Shivaji Road,2024-03-26 09:03:43.253438,17:22,Auto-rickshaw,Main Road,Major,1,1,1,2,1
Paud Road,2023-10-08 09:03:43.253438,08:58,Bicycle,Highway,Fatal,1,1,0,0,1
Aundh Road,2022-04-14 09:03:43.253438,10:56,Bicycle,Main Road,Major,1,1,0,37,0
FC Road,2021-03-05 09:03:43.253438,10:35,Bike,Residential,Minor,1,0,0,36,0
Baner Road,2023-08-02 09:03:43.253438,04:24,Car,Residential,Major,0,1,0,28,0
MG Road,2020-02-23 09:03:43.253438,18:11,Pedestrian,Residential,Minor,0,1,0,29,1
Sinhagad Road,2019-11-13 09:03:43.253438,05:37,Bus,Rural,Major,0,1,1,17,0
MG Road,2020-07-07 09:03:43.253438,02:58,Pedestrian,Rural,Fatal,1,1,0,32,0
Karve Road,2022-07-24 09:03:43.253438,10:10,Truck,Residential,Fatal,1,0,0,7,1
MG Road,2021-02-26 09:03:43.253438,02:42,Bus,Highway,Minor,1,0,1,38,0
MG Road,2020-03-13 09:03:43.253438,22:04,Pedestrian,Rural,Fatal,0,0,0,31,1
FC Road,2021-05-20 09:03:43.253438,08:48,Bike,Residential,Minor,0,0,0,5,0
FC Road,2023-08-03 09:03:43.253438,11:07,Truck,Highway,Major,1,1,0,38,1
Kothrud Road,2020-09-27 09:03:43.253438,20:40,Bike,Main Road,Fatal,0,0,1,39,1
Aundh Road,2024-05-01 09:03:43.253438,14:59,Pedestrian,Rural,Major,1,0,0,19,0
Sinhagad Road,2019-09-29 09:03:43.253438,22:03,Truck,Residential,Major,1,0,1,38,0
MG Road,2024-07-22 09:03:43.253438,06:11,Bicycle,Rural,Minor,1,1,0,20,0
MG Road,2024-08-27 09:03:43.253438,21:54,Bicycle,Highway,Minor,0,1,0,22,0
Baner Road,2022-04-08 09:03:43.253438,19:19,Bus,Highway,Fatal,1,1,1,11,1
FC Road,2021-04-26 09:03:43.253438,05:54,Bus,Highway,Major,0,0,0,2,1
Sinhagad Road,2020-06-13 09:03:43.253438,21:55,Pedestrian,Rural,Major,0,1,0,10,0
Shivaji Road,2021-02-22 09:03:43.253438,23:37,Auto-rickshaw,Residential,Major,1,1,0,7,0
Kothrud Road,2019-09-20 09:03:43.253438,18:19,Pedestrian,Highway,Fatal,0,0,1,9,0
Aundh Road,2022-12-15 09:03:43.253438,17:49,Pedestrian,Rural,Major,0,0,1,27,0
Paud Road,2022-10-24 09:03:43.253438,11:06,Pedestrian,Main Road,Major,0,1,0,15,1
Aundh Road,2019-12-01 09:03:43.253438,18:45,Bike,Rural,Major,0,0,0,11,1
Karve Road,2021-12-04 09:03:43.253438,18:28,Bus,Rural,Major,1,0,0,39,1
MG Road,2024-02-09 09:03:43.253438,03:35,Truck,Main Road,Fatal,1,0,0,18,1
Kothrud Road,2022-12-10 09:03:43.253438,09:45,Car,Main Road,Fatal,1,1,0,37,1
Karve Road,2022-07-18 09:03:43.253438,15:11,Pedestrian,Main Road,Major,1,1,0,36,0
Sinhagad Road,2022-09-06 09:03:43.253438,09:04,Car,Main Road,Major,1,0,0,42,1
Paud Road,2023-09-29 09:03:43.253438,02:17,Car,Highway,Fatal,1,1,0,45,1
FC Road,2020-12-10 09:03:43.253438,07:47,Auto-rickshaw,Residential,Fatal,1,0,0,12,1
Kothrud Road,2024-02-20 09:03:43.253438,02:46,Pedestrian,Main Road,Fatal,1,0,0,44,1
Kothrud Road,2022-05-14 09:03:43.253438,19:40,Bus,Residential,Minor,1,1,1,1,1
MG Road,2022-02-10 09:03:43.253438,21:13,Bike,Residential,Fatal,0,0,0,13,0
Satara Road,2020-05-07 09:03:43.253438,13:57,Bike,Highway,Fatal,1,1,1,14,0
Kothrud Road,2024-01-01 09:03:43.253438,17:22,Pedestrian,Residential,Fatal,0,0,0,24,1
Baner Road,2021-04-01 09:03:43.253438,10:34,Pedestrian,Main Road,Major,1,0,1,37,1
Paud Road,2020-09-27 09:03:43.253438,16:27,Auto-rickshaw,Rural,Fatal,0,0,0,23,1
Paud Road,2023-01-18 09:03:43.253438,18:20,Truck,Rural,Major,0,1,0,36,1
Baner Road,2023-12-10 09:03:43.253438,07:14,Bicycle,Rural,Major,0,0,0,26,1
Shivaji Road,2022-12-20 09:03:43.253438,04:40,Pedestrian,Residential,Major,1,0,0,28,0
Baner Road,2022-06-19 09:03:43.253438,20:59,Bus,Rural,Major,0,0,1,15,1
Baner Road,2024-06-25 09:03:43.253438,09:20,Bus,Highway,Fatal,1,1,1,37,0
Paud Road,2020-09-28 09:03:43.253438,02:26,Truck,Rural,Minor,1,1,0,5,1
Aundh Road,2020-01-23 09:03:43.253438,14:16,Truck,Rural,Major,0,0,0,10,0
Paud Road,2021-08-14 09:03:43.253438,05:58,Bus,Residential,Fatal,1,1,0,43,1
Satara Road,2023-08-23 09:03:43.253438,09:07,Bus,Residential,Fatal,1,1,0,30,0
MG Road,2024-05-16 09:03:43.253438,09:39,Car,Residential,Minor,1,0,1,13,0
Karve Road,2022-06-23 09:03:43.253438,19:36,Pedestrian,Main Road,Minor,1,1,0,7,1
Aundh Road,2024-06-23 09:03:43.253438,09:50,Pedestrian,Main Road,Major,0,1,0,29,1
FC Road,2020-08-15 09:03:43.253438,20:12,Pedestrian,Residential,Minor,1,0,1,40,1
Karve Road,2021-05-12 09:03:43.253438,17:31,Bike,Rural,Minor,0,0,0,19,1
MG Road,2019-09-26 09:03:43.253438,07:00,Car,Residential,Major,0,1,1,44,0
Satara Road,2024-04-08 09:03:43.253438,06:04,Car,Highway,Fatal,1,0,1,45,0
Satara Road,2021-11-07 09:03:43.253438,03:40,Bike,Rural,Minor,1,0,0,41,0
FC Road,2019-11-01 09:03:43.253438,03:21,Auto-rickshaw,Rural,Minor,1,1,0,34,0
Aundh Road,2023-09-09 09:03:43.253438,02:02,Bicycle,Residential,Fatal,1,1,0,2,1
Shivaji Road,2024-08-21 09:03:43.253438,14:18,Auto-rickshaw,Rural,Minor,0,1,1,35,1
Baner Road,2020-11-25 09:03:43.253438,22:00,Auto-rickshaw,Rural,Major,0,0,1,33,1
Aundh Road,2024-01-17 09:03:43.253438,10:52,Auto-rickshaw,Highway,Fatal,1,0,1,49,0
Shivaji Road,2024-08-12 09:03:43.253438,03:41,Truck,Highway,Minor,0,1,0,25,1
Satara Road,2019-12-01 09:03:43.253438,19:04,Car,Residential,Minor,1,0,1,32,0
Paud Road,2022-11-15 09:03:43.253438,14:16,Truck,Rural,Major,0,0,1,19,1
MG Road,2022-06-14 09:03:43.253438,09:26,Pedestrian,Main Road,Major,0,0,0,12,1
FC Road,2023-05-04 09:03:43.253438,05:43,Truck,Highway,Fatal,0,1,0,49,1
MG Road,2019-09-02 09:03:43.253438,14:52,Bike,Main Road,Major,1,1,1,41,0
Sinhagad Road,2023-01-06 09:03:43.253438,15:34,Auto-rickshaw,Main Road,Minor,0,1,1,35,1
Sinhagad Road,2022-01-16 09:03:43.253438,00:10,Bus,Main Road,Major,1,1,0,4,0
Aundh Road,2021-03-30 09:03:43.253438,02:53,Auto-rickshaw,Highway,Minor,0,1,1,28,0
Satara Road,2021-09-28 09:03:43.253438,01:50,Car,Highway,Fatal,0,0,0,24,0
Satara Road,2020-08-16 09:03:43.253438,05:43,Truck,Rural,Major,1,0,0,8,0
Baner Road,2021-02-06 09:03:43.253438,10:44,Car,Residential,Major,0,0,0,27,1
Baner Road,2022-03-14 09:03:43.253438,10:09,Truck,Rural,Minor,0,0,1,8,0
Baner Road,2021-03-07 09:03:43.253438,20:29,Truck,Highway,Minor,1,0,0,26,0
Paud Road,2020-05-11 09:03:43.253438,20:52,Truck,Rural,Fatal,0,1,1,14,1
Karve Road,2022-10-15 09:03:43.253438,20:42,Bus,Residential,Minor,1,1,0,47,1
Kothrud Road,2021-07-13 09:03:43.253438,13:27,Pedestrian,Rural,Fatal,1,0,0,29,1
Karve Road,2020-09-05 09:03:43.253438,12:13,Auto-rickshaw,Highway,Fatal,1,0,1,9,1
MG Road,2022-08-14 09:03:43.253438,21:57,Truck,Main Road,Fatal,1,1,0,42,0
Karve Road,2024-02-02 09:03:43.253438,00:25,Bike,Rural,Minor,0,0,0,29,0
Paud Road,2020-05-03 09:03:43.253438,17:47,Bicycle,Highway,Minor,0,0,0,33,1
MG Road,2023-02-19 09:03:43.253438,14:21,Bicycle,Main Road,Minor,1,1,0,5,0
Karve Road,2019-11-14 09:03:43.253438,22:49,Truck,Highway,Major,1,0,1,30,1
Paud Road,2023-10-14 09:03:43.253438,07:56,Auto-rickshaw,Rural,Major,0,0,0,40,0
Kothrud Road,2020-11-04 09:03:43.253438,22:59,Auto-rickshaw,Main Road,Major,0,1,0,43,1
Karve Road,2020-12-02 09:03:43.253438,08:01,Pedestrian,Rural,Fatal,0,1,0,25,1
Paud Road,2022-06-29 09:03:43.253438,16:27,Pedestrian,Residential,Major,1,0,1,13,0
Baner Road,2021-12-17 09:03:43.253438,05:52,Bus,Main Road,Major,1,1,0,18,0
Satara Road,2021-06-18 09:03:43.253438,09:51,Truck,Main Road,Major,1,1,1,41,0
Baner Road,2020-09-30 09:03:43.253438,07:37,Bike,Highway,Major,1,0,1,38,1
Satara Road,2024-04-04 09:03:43.253438,12:12,Bus,Rural,Fatal,1,0,0,18,0
FC Road,2021-01-07 09:03:43.253438,04:11,Bus,Residential,Fatal,0,1,0,44,1
FC Road,2023-01-15 09:03:43.253438,23:07,Truck,Highway,Minor,1,1,0,19,0
FC Road,2024-07-30 09:03:43.253438,14:06,Truck,Main Road,Minor,1,0,0,15,0
Kothrud Road,2021-08-05 09:03:43.253438,22:26,Bus,Main Road,Fatal,0,1,0,4,1
Baner Road,2022-03-03 09:03:43.253438,01:28,Bus,Main Road,Fatal,0,1,0,46,1
Satara Road,2023-11-16 09:03:43.253438,01:17,Bus,Main Road,Fatal,1,0,0,24,1
Paud Road,2024-02-16 09:03:43.253438,18:23,Car,Highway,Minor,1,1,1,41,0
MG Road,2021-12-03 09:03:43.253438,04:16,Bus,Rural,Major,0,1,1,36,1
Paud Road,2019-11-19 09:03:43.253438,14:40,Auto-rickshaw,Rural,Major,1,0,1,14,1
MG Road,2019-12-17 09:03:43.253438,02:09,Bicycle,Highway,Fatal,0,0,1,49,1
Sinhagad Road,2023-10-26 09:03:43.253438,01:55,Bike,Highway,Minor,1,0,0,0,0
Paud Road,2021-05-20 09:03:43.253438,20:27,Bike,Residential,Fatal,1,1,1,10,0
Karve Road,2020-12-25 09:03:43.253438,11:54,Bicycle,Rural,Minor,1,1,0,46,1
Karve Road,2020-01-19 09:03:43.253438,11:45,Truck,Rural,Major,1,0,0,26,1
Aundh Road,2024-05-09 09:03:43.253438,21:53,Pedestrian,Main Road,Major,1,1,1,7,0
Baner Road,2021-11-22 09:03:43.253438,03:05,Bus,Rural,Fatal,1,0,1,17,1
